,Unnamed: 0,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Y,X
5,5,Paris0,48.80567562055282,2.342643610919022,Le Patio Brasserie,48.8100960537965,2.342963218688965,French Restaurant,5484092.520865641,-428230.05151934654
32,32,Paris2,48.80804702267939,2.363905238643377,Hippopotamus,48.81205348622614,2.3623456640170843,French Restaurant,5484069.874743701,-426775.40859197977
83,83,Paris7,48.812349839078024,2.346403293491832,Aux Foudres de Bacchus,48.814739,2.35158,French Restaurant,5484500.312657088,-427512.77155920677
85,85,Paris7,48.812349839078024,2.346403293491832,La Terrasse du Marché,48.815978131305606,2.350205183029175,French Restaurant,5484654.559065758,-427590.15999008436
104,104,Paris8,48.81353579244433,2.357035328380785,La Place Rouge,48.812639000000004,2.361797,French Restaurant,5484141.506163611,-426804.6034431482
109,109,Paris8,48.81353579244433,2.357035328380785,Aux Foudres de Bacchus,48.814739,2.35158,French Restaurant,5484500.312657088,-427512.77155920677
110,110,Paris8,48.81353579244433,2.357035328380785,Hippopotamus,48.81205348622614,2.3623456640170843,French Restaurant,5484069.874743701,-426775.40859197977
123,123,Paris9,48.81472078624548,2.3676680571189808,La Place Rouge,48.812639000000004,2.361797,French Restaurant,5484141.506163611,-426804.6034431482
129,129,Paris9,48.81472078624548,2.3676680571189808,Hippopotamus,48.81205348622614,2.3623456640170843,French Restaurant,5484069.874743701,-426775.40859197977
152,152,Paris11,48.81708789452293,2.3889355941288843,café de la gare,48.81435892651631,2.3904778505259654,French Restaurant,5483978.350839477,-424674.264576765
169,169,Paris12,48.81827000868474,2.399570401392917,L'Atelier,48.82064150971569,2.3948448611115603,French Restaurant,5484620.510672815,-424237.6524036502
172,172,Paris12,48.81827000868474,2.399570401392917,Libertalia Bato-Image,48.82154161486081,2.394885146945481,French Restaurant,5484719.721488932,-424217.92295720126
173,173,Paris13,48.814271528079786,2.3076363854160697,Le Rouge Gorge,48.816206300341655,2.3108930112626935,French Restaurant,5485166.3951414395,-430461.63729946804
183,183,Paris14,48.81546109169809,2.3182672081821365,Chez Friloux,48.815382931538174,2.3175726073636422,French Restaurant,5484992.410831111,-429988.46655359503
190,190,Paris14,48.81546109169809,2.3182672081821365,La Quincaillerie Générale,48.81893651113304,2.3193865673760667,French Restaurant,5485363.55912639,-429789.110877333
193,193,Paris14,48.81546109169809,2.3182672081821365,L'Opportuniste,48.81708121135353,2.3217938840389247,French Restaurant,5485128.23319872,-429647.81954042416
206,206,Paris14,48.81546109169809,2.3182672081821365,Le Physalis,48.818316787481315,2.3226220979433654,French Restaurant,5485254.837652065,-429564.0639434658
223,223,Paris15,48.816649696110886,2.3288987268524477,L'Aspargus,48.81778194745159,2.3292759060859685,French Restaurant,5485113.211312171,-429087.37515566195
227,227,Paris15,48.816649696110886,2.3288987268524477,Le Rougemont,48.817821636007814,2.3248153924942017,French Restaurant,5485172.8299320545,-429412.9131395335
234,234,Paris15,48.816649696110886,2.3288987268524477,Le Physalis,48.818316787481315,2.3226220979433654,French Restaurant,5485254.837652065,-429564.0639434658
241,241,Paris16,48.817837341160356,2.3395309409241123,Le Pavillon Montsouris,48.822223215640896,2.340405675086392,French Restaurant,5485467.462617498,-428190.0656173392
262,262,Paris17,48.81902402668877,2.3501638498940207,Aux Foudres de Bacchus,48.814739,2.35158,French Restaurant,5484500.312657088,-427512.77155920677
355,355,Paris21,48.823761170441216,2.3927024246859183,Le Paris,48.82584939941884,2.3939717787746213,French Restaurant,5485208.149954162,-424204.4039998731
358,358,Paris21,48.823761170441216,2.3927024246859183,Libertalia Bato-Image,48.82154161486081,2.394885146945481,French Restaurant,5484719.721488932,-424217.92295720126
359,359,Paris21,48.823761170441216,2.3927024246859183,Le Petit Boeuf,48.82647787198332,2.391167422284802,French Restaurant,5485312.300079534,-424397.7913937627
363,363,Paris22,48.82494305600229,2.403338800592418,Bistrot de Charenton,48.82466843338126,2.4086572028669666,French Restaurant,5484896.62176771,-423152.30675691145
367,367,Paris22,48.82494305600229,2.403338800592418,L'Esplanade 141,48.82589452623003,2.4047903448156984,French Restaurant,5485080.0017960705,-423412.2932539936
382,382,Paris23,48.82612398109826,2.4139758683737136,Bistrot de Charenton,48.82466843338126,2.4086572028669666,French Restaurant,5484896.62176771,-423152.30675691145
404,404,Paris25,48.820946592729825,2.311391540490599,Sand-Jess Café,48.81985982812194,2.308788921668676,French Restaurant,5485597.170500668,-430546.9578780903
411,411,Paris26,48.822135929743396,2.322023932107226,Aubergine & Cie,48.81958339367819,2.323617851430192,French Restaurant,5485382.805190414,-429467.4742214759
412,412,Paris26,48.822135929743396,2.322023932107226,La Régalade,48.825025890093976,2.3202435855968546,French Restaurant,5486027.446912775,-429612.19392922916
413,413,Paris26,48.822135929743396,2.322023932107226,La Quincaillerie Générale,48.81893651113304,2.3193865673760667,French Restaurant,5485363.55912639,-429789.110877333
417,417,Paris26,48.822135929743396,2.322023932107226,Les Vendanges,48.8243911532263,2.3233857750892644,French Restaurant,5485918.222713877,-429394.2854163913
436,436,Paris26,48.822135929743396,2.322023932107226,Rouge Pomme,48.823521197145844,2.3255727103738044,French Restaurant,5485794.780333033,-429250.648102305
472,472,Paris28,48.82451172518294,2.3432908026796717,Le Pavillon Montsouris,48.822223215640896,2.340405675086392,French Restaurant,5485467.462617498,-428190.0656173392
474,474,Paris28,48.82451172518294,2.3432908026796717,Chez Papa,48.82483983986515,2.346863826574462,Southwestern French Restaurant,5485677.459012685,-427668.7171130731
492,492,Paris28,48.82451172518294,2.3432908026796717,Le Verbalon,48.825761420985614,2.3485016068927167,French Restaurant,5485759.300073716,-427531.68216398393
501,501,Paris29,48.82569818329336,2.3539252806288986,Le Pré-salé,48.828492,2.3527400000000003,French Restaurant,5486009.393822894,-427170.60349421564
509,509,Paris29,48.82569818329336,2.3539252806288986,Le Café Canon,48.826290656052024,2.356901317834854,French Restaurant,5485714.152871252,-426907.44475364976
514,514,Paris29,48.82569818329336,2.3539252806288986,Tandem,48.82801,2.351645,French Restaurant,5485969.53120508,-427259.70464234496
515,515,Paris29,48.82569818329336,2.3539252806288986,L'Avant-Goût,48.828762543318135,2.3533020798625714,French Restaurant,5486032.417978923,-427124.434433316
518,518,Paris29,48.82569818329336,2.3539252806288986,L'Âge d'Or,48.82653488996314,2.3598638176918034,French Restaurant,5485704.624726616,-426686.20778699685
526,526,Paris29,48.82569818329336,2.3539252806288986,Le Temps des Cerises,48.82775755139037,2.350459846024939,French Restaurant,5485956.210955941,-427351.1048008003
535,535,Paris29,48.82569818329336,2.3539252806288986,Le Café du Commerce,48.828381299972534,2.350044250488281,French Restaurant,5486030.438121994,-427369.8258164688
552,552,Paris29,48.82569818329336,2.3539252806288986,Chez Nathalie,48.828051076495754,2.3527782169440368,French Restaurant,5485960.081028003,-427176.05867054244
566,566,Paris29,48.82569818329336,2.3539252806288986,Le Globe Café,48.824949,2.357422,French Restaurant,5485559.108059012,-426894.45672414
572,572,Paris29,48.82569818329336,2.3539252806288986,L'Auberge de la Butte,48.82800726032671,2.3519066716681536,French Restaurant,5485965.9948313385,-427240.61865483003
577,577,Paris29,48.82569818329336,2.3539252806288986,Le Verbalon,48.825761420985614,2.3485016068927167,French Restaurant,5485759.300073716,-427531.68216398393
582,582,Paris29,48.82569818329336,2.3539252806288986,Chez Nénesse,48.827571,2.349575,French Restaurant,5485946.480546158,-427419.3093747132
593,593,Paris30,48.82688368145402,2.364560453015351,Le Prétexte,48.82646900320966,2.36337885260582,French Restaurant,5485653.933200006,-426430.35941264685
594,594,Paris30,48.82688368145402,2.364560453015351,Chez Trassoudaine,48.82877357673622,2.365232619681503,French Restaurant,5485886.330782805,-426251.7025477829
605,605,Paris30,48.82688368145402,2.364560453015351,L'Âge d'Or,48.82653488996314,2.3598638176918034,French Restaurant,5485704.624726616,-426686.20778699685
679,679,Paris31,48.82806821950739,2.3751963193351746,Le Débonnaire,48.83102522816541,2.374483289224854,French Restaurant,5486021.624887513,-425533.10420313803
685,685,Paris31,48.82806821950739,2.3751963193351746,La Zygothèque,48.82933261233386,2.3744489882820994,French Restaurant,5485834.556217013,-425567.22847100254
711,711,Paris31,48.82806821950739,2.3751963193351746,Les Escapades,48.82956312531978,2.3713302146841064,French Restaurant,5485898.555787724,-425791.0087004396
757,757,Paris32,48.82925179729607,2.3858328790842704,Le Petit Boeuf,48.82647787198332,2.391167422284802,French Restaurant,5485312.300079534,-424397.7913937627
771,771,Paris34,48.83161607145029,2.4071080768527704,Le Châlet des Îles Daumesnil,48.83067240004375,2.413466075091736,French Restaurant,5485502.572052008,-422688.7880930626
